Date,User,Kind,Max Mode,Model,Tokens,Cost ($)
8/24/25 12:25,You,pro-free-trial,No,auto,87481,Included
8/24/25 12:23,You,pro-free-trial,No,auto,25910,Included
8/24/25 12:22,You,pro-free-trial,No,auto,89830,Included
8/24/25 12:15,You,pro-free-trial,No,claude-4-sonnet,479255,Included
8/24/25 12:13,You,pro-free-trial,No,claude-4-sonnet,455879,Included
8/24/25 12:09,You,pro-free-trial,No,claude-4-sonnet,174836,Included
8/24/25 12:08,You,pro-free-trial,No,claude-4-sonnet,338171,Included
8/24/25 12:06,You,pro-free-trial,No,claude-4-sonnet,929947,Included
8/24/25 12:03,You,pro-free-trial,No,claude-4-sonnet,72322,Included
8/24/25 11:58,You,pro-free-trial,No,claude-4-sonnet,140314,Included
8/24/25 11:57,You,pro-free-trial,No,claude-4-sonnet,272780,Included
8/24/25 11:53,You,pro-free-trial,No,claude-4-sonnet,515675,Included
8/24/25 11:48,You,pro-free-trial,No,claude-4-sonnet,819220,Included
8/24/25 11:41,You,pro-free-trial,No,claude-4-sonnet,511574,Included
8/24/25 11:33,You,pro-free-trial,No,claude-4-sonnet,99981,Included
8/24/25 11:33,You,pro-free-trial,No,claude-4-sonnet,63897,Included
8/24/25 11:28,You,pro-free-trial,No,claude-4-sonnet,279565,Included
8/24/25 8:48,You,pro-free-trial,No,claude-4-sonnet,181572,Included
8/23/25 18:30,You,pro-free-trial,No,claude-4-sonnet,3256598,Included
8/23/25 17:24,You,pro-free-trial,No,claude-4-sonnet,1130158,Included
8/23/25 16:54,You,pro-free-trial,No,claude-4-sonnet,412453,Included
8/23/25 16:32,You,pro-free-trial,No,auto,342089,Included
8/23/25 16:30,You,pro-free-trial,No,auto,146082,Included
8/23/25 16:07,You,pro-free-trial,No,auto,151140,Included
8/23/25 15:46,You,pro-free-trial,No,auto,77553,Included
8/23/25 15:42,You,pro-free-trial,No,auto,45339,Included
8/23/25 9:09,You,pro-free-trial,No,auto,130703,Included
8/23/25 7:31,You,pro-free-trial,No,auto,232495,Included
8/23/25 7:02,You,pro-free-trial,No,auto,964662,Included
8/23/25 6:12,You,pro-free-trial,No,auto,535992,Included
8/21/25 6:58,You,pro-free-trial,No,claude-4-sonnet,2471570,Included
8/21/25 6:51,You,pro-free-trial,No,claude-4-sonnet,1013003,Included
8/21/25 6:25,You,pro-free-trial,No,claude-4-sonnet,966989,Included
8/20/25 20:28,You,pro-free-trial,No,claude-4-sonnet,526042,Included
8/20/25 20:24,You,pro-free-trial,No,claude-4-sonnet,508735,Included
8/20/25 20:21,You,pro-free-trial,No,claude-4-sonnet,0,Included
8/20/25 20:21,You,pro-free-trial,No,claude-4-sonnet,0,Included
8/20/25 14:05,You,pro-free-trial,No,claude-4-sonnet,207696,Included
8/20/25 13:53,You,pro-free-trial,No,claude-4-sonnet,179983,Included
8/20/25 13:51,You,"Errored, Not Charged",No,claude-4-sonnet,177729,Included
8/20/25 13:42,You,"Errored, Not Charged",No,claude-4-sonnet,1080215,Included
8/20/25 13:39,You,"Errored, Not Charged",No,claude-4-sonnet,592050,Included
8/20/25 13:33,You,"Errored, Not Charged",No,claude-4-sonnet,1279917,Included
8/20/25 13:21,You,"Errored, Not Charged",No,claude-4-sonnet,1096833,Included
8/20/25 13:20,You,"Errored, Not Charged",No,claude-4-sonnet,65634,Included
8/20/25 11:22,You,pro-free-trial,No,claude-4-sonnet,475512,Included
8/20/25 10:08,You,pro-free-trial,No,claude-4-sonnet,1441160,Included
8/20/25 10:07,You,pro-free-trial,No,auto,215153,Included
8/20/25 10:04,You,pro-free-trial,No,auto,183326,Included
8/20/25 10:02,You,pro-free-trial,No,auto,86714,Included
8/20/25 9:58,You,pro-free-trial,No,auto,98493,Included
8/20/25 9:56,You,pro-free-trial,No,auto,36959,Included
8/20/25 9:48,You,pro-free-trial,No,auto,52267,Included
8/20/25 9:46,You,pro-free-trial,No,auto,55924,Included
8/20/25 9:12,You,pro-free-trial,No,auto,171353,Included
8/20/25 9:08,You,pro-free-trial,No,auto,38194,Included
,,,,,25984924
